Offspring.ID,Mother.ID,Candidate.father.ID,matchem,patchem,cross,mat_Lon,mat_Lat,mat_corolla.mean,mat_floral.flare,mat_filiment.length,mat_style.length,mat_tube.length,mat_nectar.length,mat_sucrose.equiv.,pat_Lon,pat_Lat,pat_corolla.mean,pat_floral.flare,pat_filiment.length,pat_style.length,pat_tube.length,pat_nectar.length,pat_sucrose.equiv.,dist,corolla_dif,filiment_dif,flare_dif,style_dif,tube_dif,nectar_dif,sucrose_dif,distCategory
85_04,4085,4090,1,1,1X1,-104.706642,37.534569,87.335,6.65,13.96,83.56,60.65,43.48,32.5,-104.706605,37.534618,82.135,6.5,16.66,86.81,63.66,33.15,35,6.345909938,5.2,-2.7,0.15,-3.25,-3.01,10.33,-2.5,1
86_01,4086,4079,1,1,1X1,-104.706659,37.534581,97.02,8,17.04,78.62,54.72,70.05,32.5,-104.706292,37.533838,99.035,9.12,15.79,91.56,69.18,70.22,34.5,88.61414265,-2.015,1.25,-1.12,-12.94,-14.46,-0.17,-2,1
86_02,4086,4071,1,1,1X1,-104.706659,37.534581,97.02,8,17.04,78.62,54.72,70.05,32.5,-104.705982,37.53372,84.295,6.61,14.98,82.75,57,62.64,34,112.7485053,12.725,2.06,1.39,-4.13,-2.28,7.41,-1.5,1
86_03,4086,4158,1,0,1X0,-104.706659,37.534581,97.02,8,17.04,78.62,54.72,70.05,32.5,-104.555679,37.319172,83.59,7.07,15.91,81.69,57.43,36.43,35,27388.71109,13.43,1.13,0.93,-3.07,-2.71,33.62,-2.5,3
88_04,4088,4061,1,1,1X1,-104.706726,37.534631,92.91,6.41,16.01,88.71,67.22,54.39,32,-104.759239,37.618494,87.025,7.59,14.37,88.96,71.74,0,NA,10399.68937,5.885,1.64,-1.18,-0.25,-4.52,54.39,NA,2
88_06,4088,4087,1,1,1X1,-104.706726,37.534631,92.91,6.41,16.01,88.71,67.22,54.39,32,-104.706714,37.534602,80.08,6.32,13.89,73.67,49.28,0,NA,3.388888815,12.83,2.12,0.09,15.04,17.94,54.39,NA,1
89_12,4089,4092,0,1,0X1,-104.706653,37.534631,85.835,5.9,16.55,82,61.34,43.64,33.5,-104.706403,37.534703,89.42,7.53,16.89,90.83,68.24,56.47,34,23.49674796,-3.585,-0.34,-1.63,-8.83,-6.9,-12.83,-0.5,1
89_14,4089,4092,0,1,0X1,-104.706653,37.534631,85.835,5.9,16.55,82,61.34,43.64,33.5,-104.706403,37.534703,89.42,7.53,16.89,90.83,68.24,56.47,34,23.49674796,-3.585,-0.34,-1.63,-8.83,-6.9,-12.83,-0.5,1
89_18,4089,4097,0,0,0X0,-104.706653,37.534631,85.835,5.9,16.55,82,61.34,43.64,33.5,-104.706301,37.534525,98.225,7.05,13.77,89.06,65.99,46.71,32,33.26149603,-12.39,2.78,-1.15,-7.06,-4.65,-3.07,1.5,1
90_10,4090,4086,1,1,1X1,-104.706605,37.534618,82.135,6.5,16.66,86.81,63.66,33.15,35,-104.706659,37.534581,97.02,8,17.04,78.62,54.72,70.05,32.5,6.296271901,-14.885,-0.38,-1.5,8.19,8.94,-36.9,2.5,1
90_12,4090,4091,1,0,1X0,-104.706605,37.534618,82.135,6.5,16.66,86.81,63.66,33.15,35,-104.706406,37.534702,94.185,7.14,15.8,88.6,64.89,80.05,33,19.90663113,-12.05,0.86,-0.64,-1.79,-1.23,-46.9,2,1
90_14,4090,4077,1,1,1X1,-104.706605,37.534618,82.135,6.5,16.66,86.81,63.66,33.15,35,-104.706106,37.533826,90.075,6.18,13.67,73.29,53.92,23.37,35,98.34622827,-7.94,2.99,0.32,13.52,9.74,9.78,0,1
90_15,4090,4091,1,0,1X0,-104.706605,37.534618,82.135,6.5,16.66,86.81,63.66,33.15,35,-104.706406,37.534702,94.185,7.14,15.8,88.6,64.89,80.05,33,19.90663113,-12.05,0.86,-0.64,-1.79,-1.23,-46.9,2,1
90_16,4090,4124,1,0,1X0,-104.706605,37.534618,82.135,6.5,16.66,86.81,63.66,33.15,35,-104.545541,37.310027,93.405,6.95,12.9,74.79,58.71,45.03,36,28715.53232,-11.27,3.76,-0.45,12.02,4.95,-11.88,-1,3
91_01,4091,4103,0,1,0X1,-104.706406,37.534702,94.185,7.14,15.8,88.6,64.89,80.05,33,-104.421926,37.222687,85.055,6.49,13.23,78.59,66.91,20.18,34,42825.11215,9.13,2.57,0.65,10.01,-2.02,59.87,-1,4
91_06,4091,4117,0,0,0X0,-104.706406,37.534702,94.185,7.14,15.8,88.6,64.89,80.05,33,-104.54565,37.310243,77.335,6.77,11.36,65.95,49.18,NA,NA,28689.27076,16.85,4.44,0.37,22.65,15.71,NA,NA,3
91_07,4091,4116,0,NA,0XNA,-104.706406,37.534702,94.185,7.14,15.8,88.6,64.89,80.05,33,-104.545653,37.310237,84.5,6.44,14.36,83.14,59.35,65.45,29,28689.71756,9.685,1.44,0.7,5.46,5.54,14.6,4,3
91_08,4091,4002,0,0,0X0,-104.706406,37.534702,94.185,7.14,15.8,88.6,64.89,80.05,33,-104.759638,37.618617,88.13,5.96,15.08,84.81,57.18,1.8,19,10433.32304,6.055,0.72,1.18,3.79,7.71,78.25,14,2
93_06,4093,4163,0,0,0X0,-104.706316,37.534629,82.36,5.06,14.94,84.37,58.73,24.01,35,-104.545937,37.310252,75.47,6.56,11.95,66.13,50.26,30.65,33,28664.83004,6.89,2.99,-1.5,18.24,8.47,-6.64,2,3
95_08,4095,4096,0,0,0X0,-104.706273,37.534518,79.28,6.13,12.82,82.77,62.87,45.99,26.5,-104.70629,37.534521,89.7,6.05,14.4,79.9,52.5,48.91,34.5,1.538990469,-10.42,-1.58,0.08,2.87,10.37,-2.92,-8,1
98_10,4098,4089,0,0,0X0,-104.706292,37.534523,90.005,6.82,16.15,74.39,50.85,74.92,30,-104.706653,37.534631,85.835,5.9,16.55,82,61.34,43.64,33.5,34.08413098,4.17,-0.4,0.92,-7.61,-10.49,31.28,-3.5,1
100_02,4100,4024,1,1,1X1,-104.706206,37.534445,102.88,7.2,16.28,103.42,79.36,70.72,30,-104.759504,37.618516,78.785,6.85,13.04,73.2,52.44,1.33,NA,10451.41179,24.095,3.24,0.35,30.22,26.92,69.39,NA,2
100_03,4100,4196,1,1,1X1,-104.706206,37.534445,102.88,7.2,16.28,103.42,79.36,70.72,30,-104.834281,37.764084,77.94,7.02,12.58,74.11,73.01,22.44,21,27881.24519,24.94,3.7,0.18,29.31,6.35,48.28,9,3
100_04,4100,4132,1,1,1X1,-104.706206,37.534445,102.88,7.2,16.28,103.42,79.36,70.72,30,-104.545964,37.310204,89.74,6.28,16.28,90.47,65.08,67.5,32,28645.72189,13.14,0,0.92,12.95,14.28,3.22,-2,3
100_07,4100,4086,1,1,1X1,-104.706206,37.534445,102.88,7.2,16.28,103.42,79.36,70.72,30,-104.706659,37.534581,97.02,8,17.04,78.62,54.72,70.05,32.5,42.78904908,5.86,-0.76,-0.8,24.8,24.64,0.67,-2.5,1
100_09,4100,4057,1,1,1X1,-104.706206,37.534445,102.88,7.2,16.28,103.42,79.36,70.72,30,-104.759116,37.618388,96.365,7.88,17.48,88.91,65.71,54.2,35,10423.31859,6.515,-1.2,-0.68,14.51,13.65,16.52,-5,2
100_10,4100,4086,1,1,1X1,-104.706206,37.534445,102.88,7.2,16.28,103.42,79.36,70.72,30,-104.706659,37.534581,97.02,8,17.04,78.62,54.72,70.05,32.5,42.78904908,5.86,-0.76,-0.8,24.8,24.64,0.67,-2.5,1
100_11,4100,4188,1,1,1X1,-104.706206,37.534445,102.88,7.2,16.28,103.42,79.36,70.72,30,-104.83416,37.76411,88.235,7.81,13.99,78.1,55.81,18.68,8,27879.55588,14.645,2.29,-0.61,25.32,23.55,52.04,22,3
100_13,4100,4003,1,1,1X1,-104.706206,37.534445,102.88,7.2,16.28,103.42,79.36,70.72,30,-104.759607,37.618619,86.685,5.42,16.54,78.43,52.29,3.66,NA,10465.71567,16.195,-0.26,1.78,24.99,27.07,67.06,NA,2
100_14,4100,4145,1,1,1X1,-104.706206,37.534445,102.88,7.2,16.28,103.42,79.36,70.72,30,-104.555819,37.319218,95.02,7.62,15.45,91.17,72.88,38.8,39,27345.49713,7.86,0.83,-0.42,12.25,6.48,31.92,-9,3
100_15,4100,4086,1,1,1X1,-104.706206,37.534445,102.88,7.2,16.28,103.42,79.36,70.72,30,-104.706659,37.534581,97.02,8,17.04,78.62,54.72,70.05,32.5,42.78904908,5.86,-0.76,-0.8,24.8,24.64,0.67,-2.5,1
100_17,4100,4086,1,1,1X1,-104.706206,37.534445,102.88,7.2,16.28,103.42,79.36,70.72,30,-104.706659,37.534581,97.02,8,17.04,78.62,54.72,70.05,32.5,42.78904908,5.86,-0.76,-0.8,24.8,24.64,0.67,-2.5,1
